room_id,survey_id,host_id,room_type,city,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,name,last_modified,latitude,longitude,location,year_modified,month_modified
17096560,1480,107813252,shared room,lisbon,areeiro,10,5.0,1,1.0,14.0,nice room near downtown lisbon 4,2017-07-28 01:19:37.061523,38.739292,-9.132256,0101000020e61000004966f50eb74322c0e318c91ea15e4340,2017,7
18345382,1480,107813252,shared room,lisbon,areeiro,0,0.0,1,1.0,20.0,beautiful room near downtown lisbon 2,2017-07-28 01:19:37.059355,38.739041,-9.131372,0101000020e61000006138d730434322c09ab33ee5985e4340,2017,7
11523225,1480,58899339,shared room,lisbon,avenidas novas,4,5.0,9,1.0,27.0,nesthouse lisbon hostel female dorm,2017-07-28 01:19:37.056625,38.734229,-9.145199,0101000020e6100000e5d2f885574a22c02c634337fb5d4340,2017,7
12305540,1480,66077974,shared room,lisbon,arroios,43,4.5,1,1.0,24.0,be lisbon hostel,2017-07-28 01:19:37.054378,38.732538,-9.139503,0101000020e61000004563edef6c4722c0e38920cec35d4340,2017,7
6728398,1480,28812904,shared room,lisbon,santa maria maior,4,3.0,1,1.0,16.0,lisbon cozy flat bunk beds 4,2017-07-28 01:19:37.052125,38.710566,-9.135661,0101000020e610000071afcc5b754522c024d3a1d3f35a4340,2017,7
11015580,1480,32344156,shared room,lisbon,misericórdia,17,4.5,8,1.0,25.0,bed in bright 8 bedded dormitory,2017-07-28 01:19:37.049463,38.714269,-9.148023,0101000020e6100000931cb0abc94b22c0f8c5a52a6d5b4340,2017,7
14933037,1480,91501272,shared room,lisbon,santo antónio,2,0.0,8,1.0,15.0,low cost hostel marques gardens 8 bed dorm,2017-07-28 01:19:37.046448,38.724962,-9.147498,0101000020e610000069739cdb844b22c0df6b088ecb5c4340,2017,7
11839628,1480,53320272,shared room,lisbon,avenidas novas,2,0.0,10,1.0,18.0,swallow hostel 17 sinta se em casa,2017-07-28 01:19:37.043919,38.733829,-9.149238,0101000020e610000012a452ec684c22c09eedd11bee5d4340,2017,7
1380975,1480,6855202,shared room,lisbon,santo antónio,3,5.0,1,1.0,22.0,bed in a 10 mixed dorm shared wc,2017-07-28 01:19:37.041227,38.725079,-9.148459,0101000020e6100000ff976bd1024c22c019028063cf5c4340,2017,7
4010418,1480,12771657,shared room,lisbon,misericórdia,12,4.5,6,1.0,22.0,lisbon best hostel 6 bed room,2017-07-28 01:19:37.038430,38.71414,-9.144635,0101000020e6100000c3b645990d4a22c0fa6184f0685b4340,2017,7
17788751,1480,103885214,shared room,lisbon,santa maria maior,4,4.5,1,1.0,24.0,lisboa tu eu hostel ix,2017-07-28 01:19:37.036255,38.708939,-9.131885,0101000020e61000007aaa436e864322c0f2ed5d83be5a4340,2017,7
9018579,1480,46762399,shared room,lisbon,avenidas novas,7,4.5,6,1.0,20.0,shared female bunkbed room,2017-07-28 01:19:37.027831,38.728595,-9.14988,0101000020e610000022a64412bd4c22c0ba83d899425d4340,2017,7
18347626,1480,107813252,shared room,lisbon,areeiro,3,4.5,1,1.0,15.0,nice room near downtown lisbon 3,2017-07-28 01:19:35.263170,38.740608,-9.130472,0101000020e61000006116da39cd4222c0f793313ecc5e4340,2017,7
10398958,1480,32344156,shared room,lisbon,misericórdia,40,4.5,8,1.0,23.0,bed in bright 8 bedded dormitory,2017-07-28 01:19:35.260732,38.714618,-9.149599,0101000020e61000005307793d984c22c00491459a785b4340,2017,7
